Round,Global_Test_Accuracy,Train_Time,CPU_Usage,RAM_Usage
1,0.6425,2101.4598495960236,94.8,35.7
2,0.7756,2126.339304447174,94.7,36.5
3,0.8197,2104.0425748825073,94.9,35.6
4,0.8261,2115.6147117614746,94.8,34.2
5,0.8526,2123.022025823593,94.8,35.8
6,0.8506,2118.7632706165314,94.9,36.0
7,0.865,2119.1680026054382,94.9,36.4
8,0.8812,2093.7868888378143,95.1,36.8
9,0.8858,2100.9733152389526,95.0,35.2
10,0.8934,2086.58824133873,95.3,35.0
11,0.9038,2097.766600370407,95.2,36.6
12,0.8961,2094.0975897312164,95.1,36.3
13,0.9039,2073.1363286972046,95.4,35.2
14,0.9084,2087.542564868927,95.3,36.4
15,0.9119,2079.811905145645,95.3,35.2
16,0.913,2078.4485001564026,95.4,36.6
17,0.9146,2086.820243358612,95.3,37.0
18,0.9141,2079.0842669010162,95.3,36.8
19,0.9163,2111.733924627304,95.0,34.8
20,0.9158,2084.4224276542664,95.3,36.3
