Round,Global_Test_Accuracy,Train_Time,CPU_Usage,RAM_Usage
1,0.1,853.5316922664642,89.2,32.5
2,0.4818,914.2549526691437,88.4,34.3
3,0.6762,914.3305897712708,88.5,30.4
4,0.7135,910.4796938896179,88.6,35.3
5,0.7729,911.9149928092957,88.8,31.3
6,0.7995,909.2635531425476,88.8,31.6
7,0.8156,912.1889681816101,88.5,30.5
8,0.836,916.5490756034851,88.6,33.0
9,0.8405,913.6943001747131,88.5,33.2
10,0.852,916.123884677887,88.5,35.9
11,0.8641,910.9138398170471,88.5,36.7
12,0.868,916.2910220623016,88.6,35.7
13,0.88,912.1889853477478,88.4,36.0
14,0.8842,908.8971698284149,88.5,30.4
15,0.8841,918.0522162914276,88.4,35.5
16,0.8912,905.1332440376282,88.8,33.7
17,0.8928,917.871191740036,88.6,35.4
18,0.8926,917.0810613632202,88.5,33.9
19,0.8928,909.0625648498535,88.6,35.2
20,0.8931,904.8253300189972,88.6,33.7
