Round,Total_Traffic_KB,Agg_Time_Sec,Server_CPU,Server_RAM
1,21969.541015625,1116.6960520744324,0.1,15.3
2,21969.541015625,1172.086038351059,0.1,16.0
3,21969.541015625,1169.8060200214386,0.1,16.2
4,21969.541015625,1174.5477359294891,0.0,16.3
5,21969.541015625,1173.2488896846771,0.0,16.4
6,21969.541015625,1174.099247455597,0.1,15.8
7,21969.541015625,1173.1156241893768,0.0,15.7
8,21969.541015625,1176.5781908035278,0.1,16.2
9,21969.541015625,1171.0375442504883,0.0,16.0
10,21969.541015625,1166.065890789032,0.0,15.8
11,21969.541015625,1179.7618317604065,0.1,16.0
12,21969.541015625,1171.6175858974457,0.1,16.2
13,21969.541015625,1175.926720380783,0.0,16.1
14,21969.541015625,1179.979143857956,0.0,16.2
15,21969.541015625,1180.2189936637878,0.0,16.2
16,21969.541015625,1161.0285403728485,0.1,16.3
17,21969.541015625,1178.6600515842438,0.0,16.2
18,21969.541015625,1174.388426065445,0.0,16.3
19,21969.541015625,1162.877194404602,0.0,16.0
20,21969.541015625,1170.4932534694672,0.1,16.1
